Kalenderwoche;0-14;15-34;35-59;60+;Mittel
2019-W51;11593;5604;6562;3511;6817.5
2020-W12;5929;5445;7083;3671;5532.0
2020-W51;3980;3390;3218;1837;3106.25
2021-W12;5258;1374;2091;1291;2503.5
2021-W51;6386;4391;3557;2137;4117.75
2022-W12;10390;5517;5157;3400;6116.0
2022-W51;15256;9699;9221;6592;10192.0
2023-W12;11794;8200;5309;3823;7281.5
2023-W51;13628;8952;8971;6288;9459.75
2024-W12;11903;8296;6140;3892;7557.75
2024-W51;14813;9142;7382;5343;9170.0
2025-W12;11495;6260;5751;4029;6883.75
